Accessibility Namespace	Represents a managed wrapper for the Component Object Model (COM) accessibility interface.
System.Activities.Core.Presentation Namespace	Provides classes related to presentation.
System.Activities.Core.Presentation.Factories Namespace	Provides classes related to presentation factories.
System.Activities.Core.Presentation.Themes Namespace	Provides classes related to presentation themes.
System.Activities.Debugger Namespace	Provides classes related to the system debugger.
System.Activities.Debugger.Symbol Namespace	Provides classes related to debugger symbols.
System.Activities.DurableInstancing Namespace	Provides classes related to durable instancing.
System.Activities.DynamicUpdate Namespace	Provides classes related to dynamic updates.
System.Activities.ExpressionParser Namespace	Provides classes related to expression parsing.
System.Activities.Expressions Namespace	Provides classes related to expressions.
System.Activities.Hosting Namespace	Provides classes related to hosting.
System.Activities.Persistence Namespace	Provides classes related to persistence.
System.Activities.Presentation Namespace	Provides classes related to presentation.
System.Activities.Presentation.Annotations Namespace	Provides classes related to presentation annotations.
System.Activities.Presentation.Converters Namespace	Provides classes related to converters.
System.Activities.Presentation.Debug Namespace	Provides classes related to presentation debugging.
System.Activities.Presentation.Expressions Namespace	Provides classes related to expressions.
System.Activities.Presentation.Hosting Namespace	Provides classes related to hosting.
System.Activities.Presentation.Metadata Namespace	Provides classes related to presentation metadata.
System.Activities.Presentation.Model Namespace	Provides classes related to presentation model.
System.Activities.Presentation.PropertyEditing Namespace	Provides classes related to property editing.
System.Activities.Presentation.Services Namespace	Provides classes related to presentation services.
System.Activities.Presentation.Sqm Namespace	Provides classes related to SQM.
System.Activities.Presentation.Toolbox Namespace	Classes related to the presentation toolbox.
System.Activities.Presentation.Validation Namespace	Provides classes related to validation.
System.Activities.Presentation.View Namespace	Provides classes related to presentation views.
System.Activities.Presentation.View.OutlineView Namespace	Provides classes related to the outline view.
System.Activities.Presentation.ViewState Namespace	Provides classes related to view state data and management of view states.
System.Activities.Statements Namespace	Provides classes related to activity statements.
System.Activities.Statements.Tracking Namespace	Provides classes for monitoring state machine state executions and state transitions.
System.Activities.Tracking Namespace	Contains classes used to create and interact with workflow tracking records. Tracking records are created by the workflow runtime when a workflow instance executes, and are accessed by classes that inherit from TrackingParticipant.
System.Activities.Validation Namespace	Provides classes related to custom activity validation.
System.Activities.XamlIntegration Namespace	Contains classes that provide support for the serialization of activities into XAML.
System.AddIn Namespace	Contains the AddInAttribute attribute for identifying add-ins.
System.AddIn.Contract Namespace	Contains interfaces and structures that provide the basis for communication between components that are updated independently.
System.AddIn.Contract.Automation Namespace	Contains interfaces that components use to access type information and invoke type members.
System.AddIn.Contract.Collections Namespace	Contains interfaces that define collections of IContract and RemoteArgument objects.
System.AddIn.Hosting Namespace	Provides classes for discovering, registering, activating, and controlling Add-Ins.
System.AddIn.Pipeline Namespace	Provides classes for constructing the communication pipeline between a host application and an add-in.
System.CodeDom Namespace	Contains classes that can be used to represent the elements and structure of a source code document. The classes in this namespace can be used to model the structure of a source code document that can be output as source code in a supported language using the functionality provided by the System.CodeDom.Compiler namespace.
System.CodeDom.Compiler Namespace	Contains types for managing the generation and compilation of source code in supported programming languages. Code generators can each produce source code in a particular programming language based on the structure of Code Document Object Model (CodeDOM) source code models consisting of elements provided by the System.CodeDom namespace.
System.Collections Namespace	Contains interfaces and classes that define various collections of objects, such as lists, queues, bit arrays, hash tables and dictionaries.
System.Collections.Concurrent Namespace	Provides several thread-safe collection classes that should be used in place of the corresponding types in the System.Collections and System.Collections.Generic namespaces whenever multiple threads are accessing the collection concurrently. However, access to elements of a collection object through extension methods or through explicit interface implementations are not guaranteed to be thread-safe and may need to be synchronized by the caller.
System.Collections.Generic Namespace	Contains interfaces and classes that define generic collections, which allow users to create strongly typed collections that provide better type safety and performance than non-generic strongly typed collections.
System.Collections.ObjectModel Namespace	Contains classes that can be used as collections in the object model of a reusable library. Use these classes when properties or methods return collections.
System.Collections.Specialized Namespace	Contains specialized and strongly-typed collections; for example, a linked list dictionary, a bit vector, and collections that contain only strings.
System.ComponentModel Namespace	Provides classes that are used to implement the run-time and design-time behavior of components and controls. This namespace includes the base classes and interfaces for implementing attributes and type converters, binding to data sources, and licensing components.
System.ComponentModel.Composition Namespace	This namespace provides classes that constitute the core of the Managed Extensibility Framework, or MEF.
System.ComponentModel.Composition.Hosting Namespace	Provides Managed Extensibility Framework (MEF) types that are useful to developers of extensible applications, or hosts.
System.ComponentModel.Composition.Primitives Namespace	This namespace provides the primitive types underlying the MEF programming model.
System.ComponentModel.Composition.ReflectionModel Namespace	Provides Managed Extensibility Framework (MEF) types for developers who use a reflection-based programming model.
System.ComponentModel.Composition.Registration Namespace	Contains types that enable rule-based configuration of Managed Extensibility Framework (MEF) parts.
System.ComponentModel.DataAnnotations Namespace	Provides attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.
System.ComponentModel.DataAnnotations.Schema Namespace	Provides support for attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.
System.ComponentModel.Design Namespace	Contains classes that developers can use to build custom design-time behavior for components and user interfaces for configuring components at design time. The design-time environment provides systems that enable developers to arrange components and configure their properties. Some components might require specific design-time only behavior to function properly in a design-time environment. It might also be valuable to provide custom user interfaces that assist developers in configuring components or the values of complex data types. The classes and interfaces defined within this namespace can be used to build design-time behavior for components, access design-time services, and implement customized design-time configuration interfaces.
System.ComponentModel.Design.Data Namespace	Contains classes you can use to build custom design-time behavior for data-related components.
System.ComponentModel.Design.Serialization Namespace	Provides types that support customization and control of serialization at design time.
System.Configuration Namespace	Contains the types that provide the programming model for handling configuration data.
System.Configuration.Assemblies Namespace	Contains classes that are used to configure an assembly.
System.Configuration.Install Namespace	Provides classes that allow you to write custom installers for your own components. The Installer class is the base class for all custom installers in .NET Framework.
System.Configuration.Internal Namespace	Contains configuration types that are intended for internal use only.
System.Configuration.Provider Namespace	Contains the base classes shared by both server and client applications to support a pluggable model to easily add or remove functionality.
System.Data Namespace	Provides access to classes that represent the ADO.NET architecture. ADO.NET lets you build components that efficiently manage data from multiple data sources.
System.Data.Common Namespace	Contains classes shared by .NET data providers.
System.Data.Common.CommandTrees Namespace	Provides classes to build expressions that make up a command tree.
System.Data.Common.CommandTrees.ExpressionBuilder Namespace	Provides a command tree API.
System.Data.Common.CommandTrees.ExpressionBuilder.Spatial Namespace	Contains a class that represent the Entity Data Model (EDM) functions of a spatial.
System.Data.Common.EntitySql Namespace	Includes the EntitySqlParser class and other support classes. These classes enable you to parse an Entity SQL query string and create a command tree query.
System.Data.Design Namespace	Contains classes that can be used to generate a custom typed-dataset.
System.Data.Entity.Design Namespace	Contains classes to generate Entity Data Model (EDM) files and object source code.
System.Data.Entity.Design.AspNet Namespace	Contains the Entity Data Model (EDM) build providers for the ASP.NET build environment.
System.Data.Entity.Design.PluralizationServices Namespace	Provides classes for changing words from singular to plural form, and vice versa.
System.Data.EntityClient Namespace	The System.Data.EntityClient namespace is the .NET Framework Data Provider for the Entity Framework.
System.Data.Linq Namespace	Contains classes that support interaction with relational databases in LINQ to SQL applications.
System.Data.Linq.Mapping Namespace	Contains classes that are used to generate a LINQ to SQL object model that represents the structure and content of a relational database.
System.Data.Linq.SqlClient Namespace	Contains provider classes for communicating with SQL Server and classes that contain query helper methods.
System.Data.Linq.SqlClient.Implementation Namespace	Contains types that are used for the internal implementation details of a SQL Server provider.
System.Data.Mapping Namespace	Provides access to the MappingItemCollection and StorageMappingItemCollection classes.
System.Data.Metadata.Edm Namespace	Contains a set of types that represent concepts throughout the models used by the Entity Framework and a set of classes that help applications to work with metadata.
System.Data.Objects Namespace	Includes classes that provide access to the core functionality of Object Services. These classes enable you to query, insert, update, and delete data by working with strongly typed CLR objects that are instances of entity types. Object Services supports both Language-Integrated Query (LINQ) and Entity SQL queries against types that are defined in an Entity Data Model (EDM). Object Services materializes the returned data as objects and propagates object changes back to the data source. It also provides facilities for tracking changes, binding objects to controls, and handling concurrency. For more information, see Object Services Overview (Entity Framework).
System.Data.Objects.DataClasses Namespace	Includes classes that are base classes for types that are defined in an Entity Data Model (EDM), base classes for the types that are returned by navigation properties, and classes that define attributes that map common language runtime (CLR) objects to types in the conceptual model.
System.Data.Objects.SqlClient Namespace	Provides the SqlFunctions class, which contains common language runtime (CLR) methods that translate to database functions. Methods in the SqlFunctions class can only be used in LINQ to Entities queries.
System.Data.Odbc Namespace	The System.Data.Odbc namespace is the .NET Framework Data Provider for ODBC.
System.Data.OleDb Namespace	The System.Data.OleDb namespace is the.NET Framework Data Provider for OLE DB.
System.Data.OracleClient Namespace	The System.Data.OracleClient namespace is the .NET Framework Data Provider for Oracle.
System.Data.Services Namespace	Provides access to classes used to build WCF Data Services.
System.Data.Services.BuildProvider Namespace	Classes in this namespace generate C# or Visual Basic code for a WCF Data Services client application based on the metadata returned by the data service.
System.Data.Services.Client Namespace	Represents the .NET Framework client library that applications can use to interact with WCF Data Services.
System.Data.Services.Common Namespace	Implements functionality common to both WCF Data Services client and server runtimes.
System.Data.Services.Configuration Namespace	This namespace provides configuration settings for WCF data services features.
System.Data.Services.Design Namespace	Used by the code generation command line tools and tools in Visual Studio to generate strongly-typed client side objects for communicating with data services.
System.Data.Services.Internal Namespace	This class is not for public use and is used internally by the system to implement support for queries with eager loading of related entities.
System.Data.Services.Providers Namespace	Provides a series of interfaces that are implemented to define a custom data service provider for WCF Data Services.
System.Data.Spatial Namespace	Contains classes for spatial database functionality.
System.Data.Sql Namespace	Contains classes that support SQL Server-specific functionality.
System.Data.SqlClient Namespace	The System.Data.SqlClient namespace is the .NET Data Provider for SQL Server.
System.Data.SqlTypes Namespace	Provides classes for native data types in SQL Server. These classes provide a safer, faster alternative to the data types provided by the .NET Framework common language runtime (CLR). Using the classes in this namespace helps prevent type conversion errors caused by loss of precision. Because other data types are converted to and from SqlTypes behind the scenes, explicitly creating and using objects within this namespace also yields faster code.
System.Deployment.Application Namespace	With the System.Deployment.Application namespace, you can program custom upgrade behavior into your ClickOnce application.
System.Deployment.Internal Namespace	Contains helper classes for accessing the internal members of ActivationContext and ApplicationIdentity objects.
System.Device.Location Namespace	Allows application developers to easily access the computer's location by using a single API. Location information may come from multiple providers, such as GPS, Wi-Fi triangulation, and cell phone tower triangulation. The System.Device.Location classes provide a single API to encapsulate the multiple location providers on a computer and support seamless prioritization and transitioning between them. As a result, application developers who use this API do not need to tailor applications to specific hardware configurations.
System.Diagnostics Namespace	Provides classes that allow you to interact with system processes, event logs, and performance counters.
System.Diagnostics.CodeAnalysis Namespace	Contains classes for interaction with code analysis tools. These tools are used to analyze code for conformance to coding conventions such as naming or security rules.
System.Diagnostics.Contracts Namespace	Contains static classes for representing program contracts such as preconditions, postconditions, and invariants.
System.Diagnostics.Contracts.Internal Namespace	Provides classes that the binary rewriter can use to handle a contract failure.
System.Diagnostics.Design Namespace	Contains classes that can be used to extend design-time support for application monitoring and instrumentation.
System.Diagnostics.Eventing Namespace	Contains the classes used to instrument your application. The instrumentation, when enabled, logs the event data to the Event Tracing for Windows (ETW) tracing subsystem. For a complete description of ETW, see Event Tracing for Windows.
System.Diagnostics.Eventing.Reader Namespace	Using the System.Diagnostics.Eventing.Reader namespace, you can develop applications that read and manage event logs. An event in an event log contains information, a warning, or an error that has been published by a specific application, service, or operating system component. These events are read by applications that monitor a computer's health and applications that take action when specific events occur. For more information, see Technology Summary for Reading and Managing Event Logs and Event Log Scenarios.
System.Diagnostics.PerformanceData Namespace	Use the classes in this namespace to provide counter data. The counters are used to expose performance metrics to consumers such as the Performance Monitor. The namespace does not contain classes for consuming the counter data. For a complete description of the performance counters architecture, see Performance Counters.
System.Diagnostics.SymbolStore Namespace	Provides classes that allow you to read and write debug symbol information, such as source line to Microsoft intermediate language (MSIL) maps. Compilers that target .NET can store the debug symbol information into programmer's database (PDB) files. Debuggers and code profiler tools can read the debug symbol information at run time.
System.Diagnostics.Tracing Namespace	Provides types and members that enable you to create strongly typed events to be captured by event tracing for Windows (ETW).
System.DirectoryServices Namespace	Provides easy access to Active Directory Domain Services from managed code. The namespace contains two component classes, DirectoryEntry and DirectorySearcher, which use the Active Directory Services Interfaces (ADSI) technology. ADSI is the set of interfaces that Microsoft provides as a flexible tool for working with a variety of network providers. ADSI gives the administrator the ability to locate and manage resources on a network with relative ease, regardless of the size of the network.
System.DirectoryServices.AccountManagement Namespace	Provides uniform access and manipulation of user, computer, and group security principals across the multiple principal stores: Active Directory Domain Services (AD DS), Active Directory Lightweight Directory Services (AD LDS), and Machine SAM (MSAM). System.DirectoryServices.AccountManagement manages directory objects independent of the System.DirectoryServices namespace.
System.DirectoryServices.ActiveDirectory Namespace	Provides a high level abstraction object model that builds around Microsoft Active Directory services tasks. The Active Directory service concepts such as forest, domain, site, subnet, partition, and schema are part of the object model.
System.DirectoryServices.Protocols Namespace	Provides the methods defined in the Lightweight Directory Access Protocol (LDAP) version 3 (V3) and Directory Services Markup Language (DSML) version 2.0 (V2) standards.
System.Drawing Namespace	Provides access to GDI+ basic graphics functionality. The System.Drawing.Drawing2D, System.Drawing.Imaging, and System.Drawing.Text namespaces provide more advanced functionality. For limitations, see the Remarks section.
System.Drawing.Configuration Namespace	Contains a class that supports configuration for classes in the System.Drawing namespace.
System.Drawing.Design Namespace	Contains classes that extend design-time user interface (UI) logic and drawing.
System.Drawing.Drawing2D Namespace	Provides advanced two-dimensional and vector graphics functionality.
System.Drawing.Imaging Namespace	Provides advanced GDI+ imaging functionality. Basic graphics functionality is provided by the System.Drawing namespace.
System.Drawing.Printing Namespace	Provides print-related services for Windows Forms applications.
System.Drawing.Text Namespace	Provides advanced GDI+ typography functionality.
System.Dynamic Namespace	Provides classes and interfaces that support Dynamic Language Runtime.
System.EnterpriseServices Namespace	Provides .NET objects with access to COM+ services making the .NET Framework objects more practical for enterprise applications.
System.EnterpriseServices.CompensatingResourceManager Namespace	Provides classes that allow you to use a Compensating Resource Manager (CRM) in managed code. A CRM is a service provided by COM+ that enables you to include nontransactional objects in Microsoft Distributed Transaction Coordinator (DTC) transactions. Although CRMs do not provide the capabilities of a full resource manager, they do provide transactional atomicity (all or nothing behavior) and durability through the recovery log.
System.EnterpriseServices.Internal Namespace	Provides infrastructure support for COM+ services. The classes and interfaces in this namespace are specifically intended to support calls into System.EnterpriseServices from the unmanaged COM+ classes.
System.Globalization Namespace	Contains classes that define culture-related information, including language, country/region, calendars in use, format patterns for dates, currency, and numbers, and sort order for strings. These classes are useful for writing globalized (internationalized) applications. Classes such as StringInfo and TextInfo provide advanced globalization functionalities, including surrogate support and text element processing.
System.IO Namespace	Contains types that allow reading and writing to files and data streams, and types that provide basic file and directory support.
System.IO.Compression Namespace	Contains classes that provide basic compression and decompression services for streams.
System.IO.IsolatedStorage Namespace	Contains types that allow the creation and use of isolated stores. With these stores, you can read and write data that less trusted code cannot access and prevent the exposure of sensitive information that can be saved elsewhere on the file system. Data is stored in compartments that are isolated by the current user and by the assembly in which the code exists. Additionally, data can be isolated by domain. Roaming profiles can be used in conjunction with isolated storage so isolated stores will travel with the user's profile. The IsolatedStorageScope enumeration indicates different types of isolation. For more information about when to use isolated storage, see Isolated Storage.
System.IO.Log Namespace	Defines an interface for logging to a record-oriented sequential I/O system.
System.IO.MemoryMappedFiles Namespace	Provides classes for using a memory-mapped file, which maps the contents of a file to an application's logical address space.
System.IO.Packaging Namespace	Provides classes that support storage of multiple data objects in a single container.
System.IO.Pipes Namespace	Contains types that provide a means for interprocess communication through anonymous and/or named pipes.
System.IO.Ports Namespace	Contains classes for controlling serial ports. The most important class, SerialPort, provides a framework for synchronous and event-driven I/O, access to pin and break states, and access to serial driver properties. It can be used to wrap Stream objects, allowing the serial port to be accessed by classes that use streams.
System.IdentityModel Namespace	Contains classes that are used to build security token services (STS). These include the SecurityTokenService and Scope classes, as well as exception several utility classes that provide the ability to perform cookie transforms.
System.IdentityModel.Claims Namespace	Contains classes that implement the Windows Communication Foundation (WCF) claims-based identity authorization model. This model includes the Claim class and the ClaimSet class. Beginning with .NET Framework 4.5 and the integration of Windows Identity Foundation (WIF) into the .NET Framework, the WCF claims-based identity model has been superseded by WIF. WIF provides a claims-based identity object model that can be used to provide authentication and authorization across several Microsoft product stacks, including the CLR, WCF, and ASP.NET. The WIF classes that represent claims, claim types, and identities and principals that are based on claims are contained in the System.Security.Claims namespace. Beginning with .NET 4.5, these classes should be used instead of those in the System.IdentityModel.Claims namespace.
System.IdentityModel.Configuration Namespace	Contains classes that provide configuration for applications and services built using the Windows Identity Foundation (WIF). The classes in this namespace represent settings under the <identityConfiguration> element. Classes that configure federation using the WS-Federation protocol are contained primarily in the System.IdentityModel.Services.Configuration namespace. These settings appear under the <system.identityModel.services> element in a configuration file.
System.IdentityModel.Metadata Namespace	Contains classes that represent elements in a Federation Metadata document. A Federation Metadata document is an XML document that provides information that may be useful to partners when establishing a federation. For more information about federation metadata, see section three of the following specification: Web Services Federation Language (WS-Federation) Version 1.2.
System.IdentityModel.Policy Namespace	Contains classes that are used to implement authorization policy when using the WCF claims-based identity model. Beginning with .NET Framework 4.5 and the integration of Windows Identity Foundation (WIF) into the .NET Framework, the WCF claims-based identity model has been superseded by WIF. WIF provides a claims-based identity object model that can be used to provide authentication and authorization across several Microsoft product stacks, including the CLR, WCF, and ASP.NET. In WIF, authorization policy is implemented by extending the ClaimsAuthorizationManager class. Beginning with .NET 4.5, authorization policy should be implemented by using WIF instead of the classes in the System.IdentityModel.Claims namespace.
System.IdentityModel.Protocols.WSTrust Namespace	Contains classes that represent WS-Trust artifacts. These include the RequestSecurityToken (RST) and RequestSecurityToken (RSTR) classes and several serializers that can serialize and deserialize between WS-Trust artifacts on the wire and their representation in the object model. Out-of-the-box, Windows Identity Foundation (WIF) contains support for the following WS-Trust specifications: WS-Trust February 2005, WS-Trust 1.3, or WS-Trust 1.4.
System.IdentityModel.Selectors Namespace	Contains classes that implement authentication in the Windows Communication Foundation (WCF) claims-based identity model. Beginning with .NET Framework 4.5 and the integration of Windows Identity Foundation (WIF) into the .NET Framework, the WCF claims-based identity model has been superseded by WIF. WIF provides a claims-based identity object model that can be used to provide authentication and authorization across several Microsoft product stacks, including the CLR, WCF, and ASP.NET. The WIF classes that represent security tokens and that are used to process security tokens are contained in the System.IdentityModel.Tokens namespace; for example, SecurityToken and SecurityTokenHandler. Beginning with .NET 4.5, the classes in the System.IdentityModel.Tokens namespace should be used instead of those in the System.IdentityModel.Selectors namespace.
System.IdentityModel.Services Namespace	Contains classes that are used in applications built using Windows Identity Foundation (WIF) that perform federated authentication with the WS-Federation protocol. It contains the HTTP Modules, WSFederationAuthenticationModule (WSFAM) and SessionAuthenticationModule (SAM), as well as classes that support their operation. The WSFAM provides handling for the WS-Federation sign-in and sign-out sequences and the SAM provides session management by maintaining and handling cookies. The namespace also contains classes that represent WS-Federation messages (WSFederationMessage), such as sign-in (SignInRequestMessage, SignInResponseMessage) and sign-out messages (SignOutRequestMessage), as well as serializers that serialize and deserialize between the object model and the on-the-wire representations of these messages.
System.IdentityModel.Services.Configuration Namespace	Contains classes that provide configuration for Windows Identity Foundation (WIF) applications that use the WS-Federation protocol. The classes in this namespace represent settings under the <system.identityModel.services> element. The System.IdentityModel.Services namespace also contains some of the classes that are used to configure WS-Federation. Classes that configure other service and application settings, such as security token handlers, are contained primarily in the System.IdentityModel.Configuration namespace. These settings appear under the <identityConfiguration> element in a configuration file.
System.IdentityModel.Services.Tokens Namespace	The System.IdentityModel.Services.Tokens contains the MachineKeySessionSecurityTokenHandler class and the MembershipUserNameSecurityTokenHandler class.
System.IdentityModel.Tokens Namespace	Contains base classes such as SecurityToken, SecurityTokenHandler, and SecurityKeyIdentifierClause, as well as classes that derive from these classes and represent several of the token types, artifacts, and handlers for which the Windows Identity Foundation (WIF) has built in support. This includes classes that contain support for SAML v1.1 and v2.0 tokens, such as: SamlSecurityToken, SamlSecurityTokenHandler, Saml2SecurityToken, and Saml2SecurityTokenHandler.
System.Linq Namespace	Provides classes and interfaces that support queries that use Language-Integrated Query (LINQ).
System.Linq.Expressions Namespace	Contains classes, interfaces and enumerations that enable language-level code expressions to be represented as objects in the form of expression trees.
System.Management Namespace	Provides access to a rich set of management information and management events about the system, devices, and applications instrumented to the Windows Management Instrumentation (WMI) infrastructure. Applications and services can query for interesting management information (such as how much free space is left on the disk, what is the current CPU utilization, which database a certain application is connected to, and much more), using classes derived from ManagementObjectSearcher and ManagementQuery, or subscribe to a variety of management events using the ManagementEventWatcher class. The accessible data can be from both managed and unmanaged components in the distributed environment.
System.Management.Instrumentation Namespace	Provides the classes necessary for instrumenting applications for management and exposing their management information and events through WMI to potential consumers. Consumers such as Microsoft Application Center or Microsoft Operations Manager can then manage your application easily, and monitoring and configuring of your application is available for administrator scripts or other applications, both managed as well as unmanaged. Instrumentation of your application is easy to achieve using the InstrumentationClass custom attribute on classes you wish to expose, or using the provided BaseEvent and Instance base classes and the Instrumentation helper class.
System.Media Namespace	Contains classes for playing sound files and accessing sounds provided by the system.
System.Messaging Namespace	Provides classes that allow you to connect to, monitor, and administer message queues on the network and send, receive, or peek messages.
System.Messaging.Design Namespace	Contains classes that can be used to extend design-time support for System.Messaging classes.
System.Net Namespace	Provides a simple programming interface for many of the protocols used on networks today. Classes in the System.Net namespace can be used to develop Windows Store apps or desktop apps. When used in a Windows Store app, classes in the System.Net namespace are affected by network isolation feature, part of the application security model used by the Windows Developer Preview. The appropriate network capabilities must be enabled in the app manifest for a Windows Store app for the system to allow network access by a Windows Store app. For more information, see the Network Isolation for Windows Store Apps.
System.Net.Cache Namespace	Defines the types and enumerations used to define cache policies for resources obtained using the WebRequest and HttpWebRequest classes.
System.Net.Configuration Namespace	Contains classes that applications use to programmatically access and update configuration settings for the System.Net namespaces.
System.Net.Http Namespace	Provides a programming interface for modern HTTP applications.
System.Net.Http.Headers Namespace	Provides support for collections of HTTP headers used by the System.Net.Http namespace.
System.Net.Mail Namespace	Contains classes used to send electronic mail to a Simple Mail Transfer Protocol (SMTP) server for delivery.
System.Net.Mime Namespace	Contains types that are used to represent Multipurpose Internet Mail Exchange (MIME) headers. These types are used with the types in the System.Net.Mail namespace to specify Content-Type, Content-Disposition, and Content-transfer-Encoding headers when using the SmtpClient class to send email.
System.Net.NetworkInformation Namespace	Provides access to network traffic data, network address information, and notification of address changes for the local computer. The namespace also contains classes that implement the Ping utility. You can use Ping and related classes to check whether a computer is reachable across the network.
System.Net.PeerToPeer Namespace	Provides access to peer networking functionality.
System.Net.PeerToPeer.Collaboration Namespace	Enhances System.Net.PeerToPeer networking functionality and provides capabilities for serverless managed collaboration sessions.
